restaurants_name,restaurants_phone,restaurants_users_name,restaurants_users_reviews
The Brick Pub & Grill,(425) 207-8951,Rich L.,"Just wanted to thank the blonde haired girl and bearded guy working tonight for showing racism. We walked in approx 30 mins ago and sat down at the table next to the bar. No acknowledgement even though both of them looked straight at us. Blonde girl started cleaning one of the machines and the bearded guy just kept talking to his friends. We sat the table for 15 mins and neither of them brought a menu or said Hi to us. After I began staring at the girl wondering why we were being ignored, a white couple came in and sat at the bar. Within 30 seconds he had poured them waters and took their order. He made their drinks and we had yet to be greeted or brought a drink menu. Every person in the bar was white including the couple that came in. Coincidence??? Thank you for ruining our evening and reaffirming that asian people are not welcome at the pub."
The Brick Pub & Grill,(425) 207-8951,Andrea I.,Thank you Andrea.
Mean Sandwich,(206) 789-9999,Ran L.,"True to its name, this place served up a mean falafel sandwich! One of the better vegan sandwiches I've had anywhere.
I've also had one bite of my friend's fish sandwich, which I found to be tasty with inventive flavors.
However, I'm not a huge fan of the potato skins and ins - I found them to be really overcooked both times I've gotten them, one time almost inedibly so.
I'm sure I will be back many times for the vegan sandwich!"
Mean Sandwich,(206) 789-9999,Jean K.,Thanks for the 5-star love Jean. It was super nice to have met you and I’m super thankful that you understood that we were bonkers due to the Fried Chicken pop-up going on. We hope to see you in the shop again soon!
Mean Sandwich,(206) 789-9999,Ahmed F.,"Ahmed, thank you so much for the 5-star love - and the descriptions you've written make me hungry! (And Freddy's was quite an inspiration in my quest for the perfect smashburger!)"
Mean Sandwich,(206) 789-9999,Heather W.,"Heather, I’m super disappointed we didn’t meet your expectations on this day. Yes we were busy but it doesn’t excuse poor execution.
We are very proud of the Bahn Mi buns we get from the Vietnamese family for our subs - I’m sorry that they fell short in your opinion. I personally love our Jersey Sub with its red wine vinegar and oil dressing, dried oregano, salt and pepper dressed shredded lettuce atop provolone cheese, shop sliced ham, spicy copa and smokey hard salami. What exactly was “just bad” about it? Feedback is so important for me and the team to improve.
Regarding the Buon Appetito being mediocre, what exactly would you have us alter? We use Mary’s Organic chicken breasts that we pound, brine for 4-6 hours and then bread and deep fry, topped with Franks Buffalo May and our shop made Calabrian chili relish and shredded lettuce this sandwich typically bursts with flavor and crunch - I wonder how we missed the mark?
Anyway, we are always interested in improving and your helpful feedback will aid in our growth. If you come to the shop again do please say hello to me and I’d be happy to buy you a sandwich in hopes of improving your opinion of our small brother owned shop."
Mean Sandwich,(206) 789-9999,Maddy L.,"Yay I am a fan! The Mean Sandwich is right next to a brewery, so you can take your food and go over there! The time we waited took a while, but the food is fair priced and very good. I got the italian sandwich and my friend got the med - both very delicious. The potatoes are also very good (highly rec the buffalo ones!!)"
Mean Sandwich,(206) 789-9999,Morgan J.,"The buon appetito sandwich, which is a fried chicken sandwich, was lackluster IMO. There wasn't much flavor and there was way too much bread and not enough chicken. I asked for a side of pickles to jazz it up. The menu is heavy on meats, slaws, pickled stuff, and buffalo sauce, which is not my personal fave but many others will love.
On the bright side, this place is dog friendly with a huge patio out back including ping pong and cornhole! It would be a great place to go with a group of friends. We went at a weird time, like 4 pm on a Thursday, and there was no one else there!"
Mean Sandwich,(206) 789-9999,Samer K.,The grub hub driver lied about picking up my order but I thought it was super thoughtful for the Mean Sandwich staff to contact me and let me know about this issue because I didn't know and just thought food was on the way. Great customer service
Mean Sandwich,(206) 789-9999,Vijay S.,"Had a mean sandwich (corned beef, cabbage, mustard, mint and maple syrup) with falafel added - was such a great sandwich. They source their meats locally, make their own falafel (really good) and are just the type of place you would want to go to after a few brews (or even pick up a sandwich at lunch)
Highly recommend."
Mean Sandwich,(206) 789-9999,Alyssa M.,"Alyssa, not sure how I missed this great review by you and Scout! Thanks again for the 5-star love! We hope to see you both at the shop again soon!"
Mean Sandwich,(206) 789-9999,Maggie R.,Maggie - thanks so much for the 5-star love! It was great to meet you and your family and hope to see you at the shop again soon!
Mean Sandwich,(206) 789-9999,Sheri C.,"Spent the afternoon with a friend who suggested we come here for lunch. She told me she had been here before and that I would like it; she was spot on.
Mean Sandwich is a small shop in Ballard that has no frills. Featured in Bon Appetit's 2017 List of America's Best New Restaurants, which I was informed about by my friend, I was intrigued to find a pretty basic menu: 7 sandwiches with 3 daily specials (soup may be one), 1 salad, 3 kinds of fat potato skins: salt & pepper or buffalo sauce or loaded-cheese/chives/bacon bits/more cheese, and yesterday's bun bread pudding.
While my friend and I were staring at the menu trying to decide what to order, a member of BOH came out, started singing loudly along with the 80's song playing and a huge grin. ""What should I get?!"" belted out my friend. ""Buon Appetito,"" he replied. She gushed. He kept singing. She informed me I had to get the skins and share them with her, so we got the salt and pepper.
Buon Appetito is a chicken sandwich with buffalo mayo, provolone, tomato, lettuce, and a pickled pepper relish. It looked huge. It was. My bud ended up taking half the sandwich home for later.
I got the Jersey Sub: capicola, provolone, salami, ham, lettuce, tomato, oregano, oil & vinegar (I asked for no red onion). Amazingly good. Crazy filling. The BREAD, man, the bread. It was like home, only a home I've never had.
Their icon is a pair of lady's lips with red lipstick, and they had free stickers. We each grabbed one. I slapped mine on the back of my day planner which is now in the recycling bin somewhere, and I really, really want to go back and get another sticker. And a sandwich.
You can get delivery. You can get catering. Adult beverages are available. I stuck with a bottle of root beer.
Outdoor seating where your pooch can also sit is available. Tables indoors along with bar stools facing the windows.
Food: 5
Service: 5
Ambiance: 4
Parking: 3 - It's freaking Ballard"
Mean Sandwich,(206) 789-9999,Brendan c.,"I would definitely go back but ratios of sandwiches can be off at times. The guys working there are super nice and the place is spotless. If your lucky to be there when it's open, get a sandwich and if you aren't hungry, get one for later.
Example of poor ratio: is The Fish is really good when you get the right bite and you get a bit of everything. However the sardines are like 10% of the sandwich. The bread is like 40% the sandwich and at times your just eating bread, which is also really good but I want something in between it. Also the fish is between. The lettuce and the slaw so one bite and half of the fish slides right out the back. Next, thing you know your eating a vegan sandwich of slaw and lettuce."
Mean Sandwich,(206) 789-9999,Scott X.,"Only had the Chicken Sandwich...It was excellent!!!
The fries, which are actually deep fried chunks of baked potato are pretty damn good too....
Recommended"
Mean Sandwich,(206) 789-9999,Tom C.,"So this review is going to go beyond the incredible sandwiches and touch on the awesome customer experience at Mean Sandwich. We came based on the rumors of a delicious sandwich and were not disappointed. The Mean Corned Beef was awesome. A great version of a staple, including mint to add a touch of sweet flavor. The potato sides were also awesome. The part I really want to highlight though is Dan. When I asked what he recommended, he actually asked questions and gave great guidance. He also checked in on us to see if we were enjoying our sandwiches and asked what we thought of our selections. On our way out the door he thanked us for visiting. I know this all seems minor compared to the food but in today's hipster Seattle food scene I think it's rare to find a spot that not only has great food but also great people that appreciate their customers. Go for the awesome sandwiches, return for the great people!"
Mean Sandwich,(206) 789-9999,Tori Z.,"Very unique signature sandwich. The meat is juicy and delicious and the sandwich is filled with many strong flavored ingredients - and it works. When I saw maple syrup and mint on the menu I thought it was weird, but it really balances the sandwich well. Overall a great sandwich, I'd love to come back to try other sandwiches, the skins and ins, and play corn hole and ping pong in their courtyard."
Mean Sandwich,(206) 789-9999,Martyn L.,"Mean Sandwich is a high quality sandwich place in the south end of Seattle's Ballard. It serves a limited range of well-produced sandwiches.
The restaurant is in an easy location to reach near the bridge. Parking nearby is limited and we were lucky to find a space in relatively short walking distance. We had come for a late lunch so it wasn't too busy.
Inside there is a very limited set of seating. This is a place that probably works best for takeout, since I wouldn't have felt really confident we could sit down, and don't want to let my food get cold. Service was counter-style, and friendly.
The menu is very limited. I knew this going in, but when faced with the actual choices, there are really only two that appeal to me much and really only one I definitely want.
There is a very appealing sounding side (fried potato lumps called skins and ins). This is exactly the sort of thing I typically love, but it was a bit overcooked and oversalted and I liked it but didn't love it, which was the big disappointment of the visit. I had expected this to be the high point.
When the sandwich arrived, it was great quality. I had a Buon Appetito (chicken). The bread is super - which I think is what tends to be most important. Not too sweet or soft. Great bread. The filling was a bit less exciting. It tasted like pretty normal sandwich fare. Not bad in any way, but not amazing. The portions were giant. With the skins, both of us had about twice as much food as we needed for a lunch and should have shared (except that we wanted completely different things).
Overall, this is a pretty good sandwich place. Much better than most of the regular chains or local places. If something from their tiny selection appeals to you, I recommend a visit. I doubt we'll be going very often, because we didn't bond with the choices we made and there isn't much more we want to try."
Mean Sandwich,(206) 789-9999,Amanda E.,Thanks for the 5-star love Amanda! What a great photo you took of the Mean Sandwich as well! We look forward to having you at the shop again soon!
Mean Sandwich,(206) 789-9999,J B.,"Are you in the mood for a really exceptional sandwich experience? Then I highly recommend Mean Sandwich and do get The Mean and an order of fries. The burger is really good. I'm looking forward to trying the other items on the menu and I'm thinking they'll be pretty good. Staff is very friendly (parking can be a bit tough, but there is street parking)."
Mean Sandwich,(206) 789-9999,David B.,"Nice staff. Cool location.
I think we were oversold on the sandwiches. The hype hurt.
These were solid sandwiches.
The Mean, JCVH and Italian were ok. Nothing stellar. Ironically our veg in the group really loved the falafel sandwich. I agreed and felt a little cheated with my choice of the Italian and the too vinegary sauce and almost Jersey Mike's level of presentation.
I had and have high hopes that some adjustments will help this place live up to the hype like Dingfelders was finally able to do after some adjustments."
Mean Sandwich,(206) 789-9999,Dominique S.,"Dominique, thanks for the 5-star love! So stoked you like the bread pudding...we love it and its a great way to use up day old buns so that the sandwiches are always on fresh buns. Till next time!!"
Due’ Cucina Italiana,(206) 397-4375,Karrissa D.,"I called this evening to verify their cacio e pepe is vegetarian, and it is! yay!
I ordered the cacio e pepe and a slice of sourdough bread through uber eats. The flavor of the cacio e pepe is quite different from what I've had before, I think it's the aged cheese that really made the difference. It was delicious though! The pasta was perfectly cooked (& fresh!) and the 'sauce' still had a really good pepper flavor. The sourdough also came with a light drizzle of olive oil and salt which complemented the pasta perfectly.
Only downside was the temperature, but that's a given with delivery. Definitely looking forward to being able to visit once everything is back open, as this was my first time trying their food. I'm for sure going to order some fresh pasta for home in the future too."
Due’ Cucina Italiana,(206) 397-4375,Andrea O.,"I'm Italian and I'm very picky and demanding when it comes to Italian food (or food in general for that matter). Well Due is among my favorite places to get real genuine Italian food. Everything is good and authentic, my favs these days are the pasta cacio e pepe with guanciale and Tiramisù. This is a must try, it will become one of your favorites too"
Due’ Cucina Italiana,(206) 397-4375,Becca H.,"Due' Cucina is a great spot for lunch or dinner! The prices are great, the servers and atmosphere are relaxed and welcoming, and the food is amazing. My go-to order is the Traditional Bolognese Ragu with traditional spaghetti. My boyfriend orders the Aglio & Olio with healthy campanelle and adds fried tofu. Be sure to get tiramisu, sharing is an option size-wise, but you won't want to. It's to die for! We placed an order for pick-up today since the city is still under the stay-at-home order. There was no fuss and no wait to get our food. We're going to continue supporting Dué through the coronavirus pandemic and beyond. Yum!!!"
Due’ Cucina Italiana,(206) 397-4375,Jen H.,"Thank goodness this place delivers all the way to Kirkland! I miss eating out in Seattle so I was super thankful and appreciative that we were in the delivery area.
I ordered the kale pesto campanelle and it was amazing!! I would definitely order this again. It was cooked perfectly - nice and chewy. My partner ordered the eggplant parm and he was a little disappointed with the portion size; it came in a tiny little box. He was jealous of my kale pesto pasta which I hesitantly shared with him. We shared the tiramisu at the end of our meal and it was fantastic, one of the best tiramisu I have had in awhile. Definitely planning on ordering here more while this pandemic is going on. Highly recommend!"
Due’ Cucina Italiana,(206) 397-4375,Richard U.,"3.5 star place!
Interesting casual dining pasta place up in Cap Hill. I was looking to support local restaurants still open during the shelter at home mandate in effect and luckily they are still open for take out.
Stuff tried:
Eggplant parmesan: i am only person i know that actually craves eggplant parm. The version here is not crispy at all but it is exceedingly delicious! My only gripe is that the portion size is tiny. If you are remotely hungry i would order two servings.
Mushroom with truffle oil on healthy pasta: i am a sucker for mushroom truffle oil anything. Chose the healthy pasta which is made from some type of bean flour instead of wheat giving it a toothy consistency. The pasta has touted health benefits but the consistency might be offputting for some folks. Flavor was pretty good however
Bruschetta caprese: nice slab of grilled bread with fresh toppings. I admit that the to go version seems to have left my bruschetta a bit soggy. Eat this first next time"
Due’ Cucina Italiana,(206) 397-4375,Holly L.,"Hi Holly,
We are glad you like the food. I am sorry that GrubHub took so long to deliver your food. I reviewed your order: your food was ready after 9 minutes the order was placed, and then was picked up by the driver about 10 minutes later. Although the service GrubHub provided is terrible we are not responsible for it as we have no control on the delivery and I would like to ask you to not penalize us. I suggest you to contact GrubHub customer service and ask for compensation.
Let me know if I can further help you."
Due’ Cucina Italiana,(206) 397-4375,Marie B.,"I love pasta and have been to just about every Italian spot in Seattle. Handmade pasta, I'm there! Pasta in a casual setting, even better! Most often though, I don't have access to the likes of Il Corvo, Pasta Casalinga, G.H. Pasta, Ristorante Machiavelli, Tavolata, or La Vita e Bella because I currently don't work in Seattle.
However, the very first Yelper I ever met is credited for the recommendation to Due' Cucina Italiana *Bryan K* Clearly, I had been under a rock and late to the pasta bowl party at this popular Capitol Hill/Broadway spot. I've interacted with the two brothers than run DCI, great charismatic business owners. Brilliant concept and business hours until 2200! Great counter staff and efficient kitchen crew. A variety of seating are available whether dining solo, pairs or larger groups. Just remember to kindly bus your table at the end!
My first visit was back in December 2018 (been open since October 2016!) and have been back so many times that honestly I've lost count. This is a long overdue Yelp review as I just had a custom pasta bowl for dunch/linner hours ago (1/27/20).
Assorted fresh pasta that's crafted on site. Your pasta bowl is customized by selecting type of pasta, sauce, and other ingredients from the giant wall signage. Order and pay at the counter, then find a place to sit if dining onsite. There's also brisk takeout and delivery traffic.
In about 15-20 minutes your name is called or check the status on the order monitor. I like to admire my pasta bowl and then dig in while nice and hot. Feeling raveneous, one can easily polish off a bowl. Most often, I have tasty leftovers for another meal.
Another item I've had often (but not today) is their delicious tiramisu. Enough to share, or not!
So thank you Bryan K, Due' Cucina Italiana has become one of my regular spots.
High quality, delicious, affordable, satisfying, highly recommended!"
Due’ Cucina Italiana,(206) 397-4375,Theresa L.,Ordered from here for the first time last night. Had delivered and dropped at the front door. Everything was timely manor and tasted great! Can't wait to try more
Due’ Cucina Italiana,(206) 397-4375,Julia L.,"Had a lovely lunch here recently! The place is modern, clean, well lit (large windows) with plenty of open seating. Remember to seat yourself & bus your own table. My group tried a variety of the sauces...
- traditional bolognese: rich, hearty, filling
- cacio & pepe: the cheese flavor was very sharp and strong, delicious but a bit too much for me
- amatriciana: lots of tomato flavors + smokey, savory goodness in the form of guanciale (cured pork cheek)
- mushroom & white truffle oil: creamy, thick, but not too heavy. Wonder, well balanced flavors between the mushroom and truffle oil (personal favorite out of the 4 sauces)
The pastas were all fresh and perfectly al dente (firm, chewy). Personally enjoyed the rigatoni and ca campanelle best. Would recommend and come back again!"
Due’ Cucina Italiana,(206) 397-4375,Pauli D.,"Who knew such a cute little pasta shop could be found in cap hill? The sauces are pretty light and the noodles are cooked just enough to still have that bite where it sticks to your teeth. You won't feel heavy with cheese or sleepy from too many carbs. You order first then pick up your food in the back from the kitchen. It's bus yourself when you are finished here, they have water in the back and utensils available on the table.
The tiramisu is also very very nice and I usually don't even like tiramisu so a round of applause for that. We need to come back and try more dishes because for the low price you get a great amount of food."
Due’ Cucina Italiana,(206) 397-4375,Edward A.,"Friendly staff, in a way. I was told the order line starts near the entrance. I thought i had to order at the food pickup area. Oops.
I had eggplant parmesan. Pretty tasty little appetizer dish. My wife had the only pasta dish that was rated high on the al dente-ish. Those noodles were rather undercooked. Felt like i was eating them raw. But i guess thats what it is by definition? I can definitely see the appeal."
Due’ Cucina Italiana,(206) 397-4375,Yvonne Yiyao X.,"Can't believe it took me so long to find this place. Friendly service. Reasonably priced. Food is fast and fresh. Delicious sauce. Pasta is al dente. I loved both pasta dishes and the tiramisu. I see their take out orders coming out rapidly. The store is not super busy or overwhelming. The owner actually cares about his business and was cleaning up here and there. The kitchen is bright and clean - always a good thing to be able to see the kitchen.
Four stars but only because of my love to Il Corvo. This is a place I'll certainly come back soon."
Due’ Cucina Italiana,(206) 397-4375,Cristina G.,"I have ordered this twice to be delivered to my office using uber eats. This is the best italian pasta I have eaten in Seattle with the exception of Barolo. The pasta is definitely made freshly from scratch and cooked perfectly al dente chewy.
My favorite dish is the mushroom and truffle oil pasta The first time, i went with another reviewer's suggestion and added pork. I decided I liked it better without pork since pork was flavorful but a little greasy.
Last time I ordered a pasta with another type of ragu and it was also great but needing cheese. Make sure you request extra cheese if you order this pasta.
I would pass on ordering any of the breads."
Due’ Cucina Italiana,(206) 397-4375,Brianna F.,"Thanks Brianna for your lovely review. It was a pleasure to host you and your friends!
See you next time,
Filippo"
Due’ Cucina Italiana,(206) 397-4375,Derek H.,"AMBIANCE
I'm a huge fan of white tile on white grout walls because it really brightens up the place. The servers are super friendly and nice. Food came out in less than ten minutes. It's cool to see all the pasta being made behind the counter. The place is really clean.
FOOD
We went with the Mushroom and White Truffle Oil with Pork Sausage and the Traditional Bolognese both with their recommended pastas. You could definitely taste the freshness of the pasta (not that I had any doubt because they literally make it behind the counter). The noodles had a great bounce, while still remaining a perfect al dente.
The sauces were great, but honestly just didn't fit my preferred palette. Completely a personal thing. The wine hints in the bolognese were too pronounced for my liking. I prefer a meatier and drier bolognese. It was hard to taste the truffle in the other dish. Then again it's $13, you can't expect much. I would have preferred more cream, but again, it's just personal preference!
OVERALL
Great vibe, I love being able to choose different sauces and noodles. I'd come back if I was in the area for a different dish."
Due’ Cucina Italiana,(206) 397-4375,Monica L.,"I'm not a pasta lover whatsoever. I eat pasta maybe once or twice a year. But I about licked my plate and my friend's plate. Holy moly. I couldn't get enough of my lasagna and her campanelle.
The staff is super friendly too. You pick up your food, grab your own water, and bus your own table. You have to go up to the counter to order too. There's no waiter but nobody cares because the pasta is out of this world.
It's too bad I don't live right above the building. I'm now a total convert."
Due’ Cucina Italiana,(206) 397-4375,Tracy C.,"Hi Traci,
I am sorry to hear that you did not have a good experience in our restaurant. We pride ourself of good friendly service and quality food.
I wish you told us about the issue with your food when you were at the restaurant, our staff is trained to resolve the issue timely and be sure that everyone that leave our premise will have a positive experience.
If you are interested in giving us another shot, I'd love to host you again at Due' for a complimentary meal, and in that occasion hopefully also collect more feedback from you. Just send me an email to info@duecucina.com and we can get it arranged.
Thanks again for your time and valuable feedback!
Filippo"
Due’ Cucina Italiana,(206) 397-4375,Jen L.,"Hi Jen,
Firstly, my apologies for getting back to you on this review so late! It has been an incredibly busy month, add some travels in the mix... and somehow we missed your review :(
My second apology is for the inconvenience you encountered during your meal with us.
With regards to your comment on pasta temp: I understand your frustration. We use a plate and bowl warmer exactly to avoid issues like this, however last month the equipment broke and we had a few days of gap before we received the new unit from the manufacturer. We tried our best to ensure customers would not perceive the difference, and luckily we didn't get complains during that time, however it looks like your order was affected.
With regards to salmon: it's hard for me to judge from the pic, however our salmon pasta comes with a scoop of salmon meat on top. If you didn't receive it, it was probably a mistake committed by our plater.
I am glad to offer you a refund on your pasta dishes to compensate you for the bad experience, or alternatively a free meal on us to give us another shot! Please let me know if you are interested in any of these options and we'll get it done asap!
Thank you for your kind feedback, looking forward to hearing back from you soon!
Filippo"
Due’ Cucina Italiana,(206) 397-4375,Melody Y.,"Oh my goodness the food is absolutely incredible here! The pasta is fresh, cooked to al dante perfection, and tasted amazing. I love how they offer sublime quality Italian dishes in a casual environment.
Being from Vancouver, I never thought there'd be a place like this. Wanting Italian food always means paying significantly more for a fine dining experience. Not only is Due Cucina super casual, but the prices are also affordable as well. I highly recommend adding a poached egg to your pasta! Elevates the experience to a whole other level."
Due’ Cucina Italiana,(206) 397-4375,chara c.,"Hi Chara,
We are sorry to hear that you did not have a great experience in our restaurant. We pride ourself with the quality of our pasta above everything else. We are a counter spot casual restaurant and we are sorry to hear that you had different expectation. For what concern the ""bite"" let me point out that you had the campanelle (rated 2/5 on our aldentness scale and the bucatini that is hollow inside, so it has intrinsically less bite). If the sauce was too salty that might have been a mistake, however on the cheese side we use a Pecorino Romano of the finest quality to balance the sweetness of the sauce and recreate the authenticity and peasant origin of the dish, but I understand that could be too strong for some. I believe that our food is much better than what you experience today and I would like to invite you for a complimentary meal, a good occasion for us to gather more feedback and hopefully win you back.
Sincerely
Filippo"
Pomodoro,(206) 324-3160,Sarah M.,"Yummy, with big portions. Had takeout during the Covid epidemic, and during this time they are offering 20% off to go orders -- even for wine. I can only imagine how it would be even better for a sit down visit and can't wait for the chance to go back during better times."
Pomodoro,(206) 324-3160,Dan T.,"We ordered takeout yesterday due to the quarantine of the city. The food was absolutely delicious. Some of the best Italian food we have ever had and so welcome during these challenging times. Chef Antolin is the best at his craft.
We will definitely be calling in another order soon. For everyone who wants a truly first class meal please support this restaurant and their staff.
Thank you for making our dinner and evening so enjoyable at home."
Pomodoro,(206) 324-3160,Mike V.,"Why are these restaurants only in Seattle?
It's as if all these great chefs slaved away in the industry for years, and one day woke up and said, you know what? I'm going to buy a small place, house, bottom floor of a building with three chiropractic offices, and just run my own small kitchen where I can float casually between the pan my guests tables, regaling them with stories of my cooking career and adventures, all the while wowing them with absolutely incredible dishes.
What Zouave is for Italian with a hint of southern French flair, Pomodoro is for Italian with a decidedly Spanish/Mediterranean coastline lean.
The chef knocks it out of the park every time we go here, and the service in largely impeccable, but more so when the chef is hanging around your table.
Outside of traveling abroad, we rarely do a full bottle of wine at dinner in the US, as dinners are often so rushed. Not here. And we always take the chefs recommendation on a bottle once we've decided which of his incredible meals we will take on for the evening.
My personal favorites are the Capellini with the fresh dungeness crab (insanely good) and the puttanesca with prawns. And yes, you should absolutely take the chefs recommended additional spice from his special habanero olive oil that you've read about, or if you're lucky and he has it, his secret truffle oil.
We have two places we go every week or two in Seattle, Canon for drinks and dinner, and Pomodoro for the slightly early dinner on weekends, especially rainy ones where you want nothing more than comfort food, smiles and great red wine."
